iter	Passed	Remaining
0	9	9896
1	14	7235
2	36	11978
3	42	10537
4	47	9414
5	68	11278
6	82	11714
7	86	10708
8	100	11070
9	108	10761
10	128	11592
11	152	12575
12	167	12706
13	179	12623
14	184	12082
15	187	11550
16	209	12133
17	228	12492
18	247	12762
19	263	12934
20	277	12950
21	290	12931
22	304	12945
23	309	12567
24	315	12289
25	335	12585
26	354	12788
27	374	12993
28	379	12717
29	398	12872
30	402	12590
31	408	12356
32	413	12110
33	418	11895
34	437	12068
35	449	12034
36	453	11813
37	474	12007
38	492	12141
39	510	12263
40	515	12063
41	528	12065
42	542	12075
43	556	12081
44	559	11865
45	576	11962
46	581	11798
47	601	11924
48	605	11746
49	608	11561
50	612	11395
51	631	11505
52	637	11382
53	655	11489
54	659	11336
55	663	11184
56	679	11249
57	683	11107
58	691	11026
59	695	10891
60	709	10924
61	713	10787
62	741	11025
63	763	11166
64	799	11503
65	807	11420
66	837	11658
67	864	11852
68	890	12012
69	915	12163
70	925	12108
71	951	12261
72	967	12281
73	981	12288
74	984	12147
75	987	12004
76	1004	12037
77	1020	12064
78	1026	11967
79	1028	11831
80	1033	11725
81	1049	11748
82	1064	11760
83	1074	11713
84	1079	11615
85	1081	11497
86	1097	11512
87	1112	11529
88	1116	11424
89	1132	11446
90	1147	11460
91	1150	11356
92	1153	11253
93	1163	11216
94	1180	11242
95	1196	11270
96	1212	11290
97	1217	11204
98	1232	11217
99	1247	11231
100	1254	11169
101	1271	11197
102	1286	11201
103	1300	11207
104	1315	11212
105	1330	11223
106	1345	11226
107	1361	11247
108	1365	11159
109	1369	11078
110	1371	10984
111	1376	10914
112	1379	10830
113	1382	10746
114	1396	10748
115	1402	10684
116	1410	10641
117	1413	10563
118	1417	10492
119	1437	10543
120	1463	10631
121	1495	10765
122	1528	10899
123	1557	11005
124	1570	10993
125	1575	10931
126	1590	10933
127	1598	10889
128	1611	10882
129	1625	10880
130	1646	10925
131	1667	10967
132	1688	11005
133	1709	11050
134	1714	10983
135	1727	10972
136	1748	11011
137	1755	10968
138	1776	11003
139	1796	11037
140	1818	11077
141	1843	11138
142	1868	11197
143	1893	11257
144	1918	11315
145	1943	11369
146	1950	11315
147	1974	11369
148	1979	11304
149	1994	11300
150	1999	11244
151	2024	11294
152	2053	11365
153	2062	11332
154	2087	11379
155	2097	11345
156	2123	11401
157	2153	11474
158	2179	11528
159	2205	11580
160	2212	11529
161	2238	11578
162	2243	11520
163	2269	11568
164	2295	11615
165	2321	11665
166	2347	11710
167	2354	11658
168	2358	11597
169	2368	11564
170	2395	11614
171	2420	11652
172	2445	11688
173	2470	11728
174	2495	11765
175	2502	11714
176	2507	11657
177	2531	11689
178	2557	11727
179	2582	11763
180	2607	11799
181	2615	11753
182	2639	11786
183	2647	11740
184	2672	11772
185	2698	11807
186	2703	11753
187	2708	11699
188	2734	11733
189	2759	11765
190	2785	11796
191	2809	11825
192	2834	11852
193	2859	11879
194	2883	11903
195	2890	11856
196	2912	11870
197	2921	11832
198	2943	11847
199	2966	11864
200	2988	11881
201	3004	11867
202	3019	11853
203	3026	11808
204	3049	11827
205	3073	11844
206	3076	11786
207	3099	11802
208	3122	11819
209	3128	11770
210	3152	11787
211	3166	11768
212	3170	11713
213	3193	11730
214	3199	11683
215	3224	11705
216	3229	11654
217	3243	11635
218	3256	11614
219	3278	11624
220	3283	11572
221	3301	11569
222	3314	11548
223	3321	11507
224	3329	11467
225	3344	11453
226	3354	11422
227	3364	11390
228	3378	11375
229	3393	11360
230	3407	11344
231	3422	11329
232	3436	11313
233	3452	11300
234	3467	11286
235	3482	11272
236	3497	11259
237	3513	11248
238	3522	11215
239	3537	11202
240	3540	11150
241	3555	11136
242	3570	11121
243	3584	11107
244	3599	11092
245	3614	11078
246	3629	11065
247	3632	11016
248	3638	10974
249	3654	10962
250	3670	10954
251	3690	10953
252	3694	10907
253	3712	10904
254	3730	10900
255	3749	10896
256	3759	10870
257	3778	10865
258	3782	10822
259	3800	10817
260	3819	10813
261	3823	10770
262	3845	10777
263	3868	10785
264	3890	10791
265	3918	10812
266	3942	10822
267	3966	10832
268	3988	10839
269	4010	10842
270	4031	10844
271	4054	10850
272	4057	10805
273	4079	10809
274	4102	10816
275	4127	10826
276	4150	10833
277	4173	10838
278	4195	10843
279	4218	10847
280	4240	10850
281	4262	10852
282	4284	10855
283	4308	10861
284	4315	10826
285	4339	10833
286	4364	10841
287	4387	10847
288	4411	10854
289	4437	10865
290	4447	10836
291	4472	10843
292	4496	10850
293	4520	10854
294	4545	10862
295	4569	10867
296	4574	10828
297	4598	10831
298	4621	10835
299	4647	10843
300	4662	10826
301	4686	10831
302	4711	10837
303	4735	10841
304	4758	10844
305	4782	10845
306	4804	10846
307	4828	10848
308	4851	10848
309	4857	10810
310	4863	10774
311	4887	10778
312	4911	10780
313	4916	10742
314	4940	10744
315	4964	10745
316	4988	10747
317	5015	10757
318	5039	10758
319	5063	10759
320	5086	10760
321	5110	10760
322	5134	10762
323	5158	10763
324	5181	10762
325	5205	10762
326	5229	10762
327	5255	10766
328	5277	10763
329	5299	10759
330	5319	10751
331	5339	10743
332	5360	10737
333	5381	10730
334	5401	10722
335	5413	10697
336	5434	10692
337	5456	10687
338	5477	10679
339	5481	10640
340	5503	10635
341	5523	10626
342	5544	10620
343	5564	10611
344	5585	10603
345	5605	10595
346	5626	10587
347	5646	10578
348	5667	10570
349	5687	10561
350	5691	10523
351	5712	10516
352	5733	10508
353	5737	10470
354	5758	10461
355	5778	10453
356	5791	10431
357	5811	10422
358	5816	10384
359	5829	10364
360	5842	10342
361	5857	10323
362	5883	10324
363	5899	10307
364	5910	10283
365	5917	10250
366	5927	10223
367	5951	10220
368	5958	10189
369	5980	10183
370	6003	10178
371	6025	10172
372	6046	10163
373	6065	10153
374	6086	10143
375	6108	10137
376	6130	10130
377	6151	10121
378	6171	10112
379	6191	10102
380	6211	10091
381	6232	10082
382	6252	10071
383	6272	10062
384	6292	10051
385	6296	10015
386	6317	10006
387	6321	9971
388	6343	9962
389	6363	9953
390	6383	9942
391	6403	9932
392	6408	9898
393	6430	9890
394	6437	9859
395	6458	9850
396	6464	9818
397	6469	9785
398	6490	9776
399	6511	9766
400	6531	9756
401	6553	9748
402	6580	9747
403	6595	9729
404	6620	9725
405	6645	9722
406	6671	9720
407	6698	9719
408	6726	9719
409	6751	9716
410	6777	9713
411	6804	9710
412	6829	9707
413	6855	9703
414	6880	9699
415	6906	9695
416	6913	9666
417	6929	9647
418	6954	9643
419	6965	9618
420	6993	9617
421	7019	9613
422	7045	9610
423	7071	9607
424	7099	9604
425	7127	9603
426	7154	9600
427	7181	9597
428	7206	9592
429	7232	9587
430	7258	9582
431	7282	9575
432	7304	9565
433	7327	9556
434	7350	9546
435	7372	9536
436	7394	9526
437	7417	9517
438	7440	9508
439	7463	9499
440	7486	9489
441	7492	9459
442	7515	9450
443	7538	9439
444	7561	9430
445	7584	9421
446	7607	9411
447	7629	9400
448	7651	9390
449	7674	9379
